cliente_id,nombre,genero,edad,departamento,municipio,fecha_registro,segmento_cliente
51,Miguel Díaz,F,57,Izabal,Morales,2023-07-06,Frecuente
52,Diego Gómez,F,38,Alta Verapaz,Tactic,2023-12-10,Inactivo
53,Rosa Gómez,M,33,Sacatepéquez,San Lucas Sacatepéquez,2023.06.04,Frecuente
54,Luis Ramírez,F,65,Escuintla,Escuintla,2021/07/13,Frecuente
55,Fernanda Méndez,M,60,Izabal,Livingston,2024/02/25,Premium
56,Luis Díaz,M,18,Escuintla,Palín,2024/01/21,Nuevo
57,José García,M,26,Guatemala,Mixco,12/09/2021,Premium
58,Miguel Castillo,M,23,Chimaltenango,El Tejar,12/11/2022,Corporativo
59,Fernanda Hernández,M,41,Quetzaltenango,Coatepeque,04-19-2022,Frecuente
60,Miguel García,F,46,Quetzaltenango,Quetzaltenango,2021/02/16,Frecuente
61,María Méndez,F,67,Escuintla,Santa Lucía Cotzumalguapa,02-28-2024,Premium
62,Carlos Díaz,F,65,Alta Verapaz,Cobán,2023.07.26,Corporativo
63,María Morales,M,67,Guatemala,Mixco,,Nuevo
64,Diego Morales,F,36,Izabal,Livingston,25/11/2023,Premium
65,María Castillo,M,70,Izabal,Morales,2021-04-26,Premium
66,Pedro Santos,F,67,Guatemala,Santa Catarina Pinula,05-19-2022,Inactivo
67,Andrea Ramírez,M,48,Quetzaltenango,Coatepeque,13/05/2021,Frecuente
68,Pedro Méndez,F,49,Guatemala,Villa Nueva,2024.04.07,Corporativo
69,Carlos Santos,F,58,Quetzaltenango,Quetzaltenango,03-14-2023,Inactivo
70,Diego Hernández,F,62,Sacatepéquez,Ciudad Vieja,04-04-2025,Premium
71,Lucía López,F,57,Sacatepéquez,Antigua Guatemala,05-20-2022,Nuev
72,Andrea Castillo,M,26,Quetzaltenango,Salcajá,2023-08-03,Premium
73,Rosa Morales,F,55,Sacatepéquez,Jocotenango,2022-09-20,Frecuente
74,Rosa García,F,74,Chimaltenango,El Tejar,2023.12.02,Corporativo
75,Juan Cruz,F,31,Alta Verapaz,San Pedro Carchá,2023-12-21,Inactivo
76,Gabriela Gómez,M,26,Quetzaltenango,SALCAJÁ,2023-10-24,Premium
77,Carlos Gómez,M,47,Izabal,Morales,2024.08.09,Premium
78,Lucía García,M,22,Quetzaltenango,Coatepeque,2023/12/29,Inactivo
79,Carlos Morales,M,61,Guatemala,Santa Catarina Pinula,2022-05-23,Nuevo
80,María García,F,61,Chimaltenango,El Tejar,2021/03/13,Frecuente
81,Carlos Díaz,M,31,Quetzaltenango,Salcajá,04-28-2022,Corporativo
82,Sofía Cruz,M,18,Guatemala,Villa Nueva,04-29-2022,FRECUENTE
83,Juan Gómez,F,74,Alta Verapaz,San Pedro Carchá,2021-10-30,Frecuente
84,Rosa Pérez,M,33,Guatemala,Guatemala,2024.11.20,Premium
85,Diego García,M,65,Petén,No Especificado,2021/10/13,Inactivo
86,José Gómez,M,69,Izabal,Livingston,2022/02/21,Corporativo
87,Fernanda Santos,M,70,Petén,Flores,05-19-2024,Premium
88,Ana Díaz,F,51,Quetzaltenango,Quetzaltenango,2022.01.19,Nuev
89,Diego Pérez,M,18,Chimaltenango,El Tejar,06/03/2023,Frecuente
90,Carlos García,F,31,Petén,Sayaxché,26/07/2021,Premium
91,María Ramírez,F,52,Chimaltenango,TECPÁN GUATEMALA,2023-01-03,Premium
92,Sofía Castillo,M,62,Quetzaltenango,Quetzaltenango,25/01/2022,Inactivo
93,Ana Gómez,M,35,Petén,Flores,2024/11/22,Premium
94,Gabriela López,M,25,Alta Verapaz,Tactic,17/09/2024,Corporativo
95,Diego Morales,M,66,Quetzaltenango,Salcajá,07-27-2021,Inactivo
96,Carlos Ramírez,F,36,Chimaltenango,El Tejar,22/09/2024,Premium
97,Ana Santos,F,46,Sacatepéquez,San Lucas Sacatepéquez,2024-11-12,Inactivo
98,Andrea López,M,52,Sacatepéquez,Jocotenango,2025.10.26,Nuevo
99,Ana Castillo,M,64,Sacatepéquez,Antigua Guatemala,12/07/2024,Nuevo
100,Sofía Pérez,M,74,Quetzaltenango,Quetzaltenango,24/05/2026,Nuevo
101,Sofía Díaz,F,42,Petén,San Benito,2023/11/29,Inactivo
102,Rosa Pérez,M,53,Izabal,Sin dato,2026.02.17,Corporativo
103,Diego Hernández,F,23,Izabal,Morales,03-17-2026,Nuevo
104,Rosa García,F,-5,Escuintla,Santa Lucía Cotzumalguapa,2025-10-24,Frecuente
105,Rosa García,M,51,Sacatepéquez,Ciudad Vieja,10-15-2021,Premium
106,Carlos Díaz,F,57,Guatemala,Guatemala,2025/07/15,Corporativo
107,Rosa Méndez,M,53,Guatemala,Guatemala,2022.07.02,Nuevo
108,Luis Méndez,F,69,Chimaltenango,Chimaltenango,09-07-2025,Corporativo
109,Juan García,F,66,Alta Verapaz,SAN PEDRO CARCHÁ,14/09/2021,Frecuente
110,Fernanda Santo,F,32,Escuintla,Escuintla,02-09-2022,Frecuente
111,Diego García,M,71,Sacatepéquez,San Lucas Sacatepéquez,2021.02.06,Premium
112,Ana Morales,F,62,Izabal,Morales,2021-09-16,Corporativo
113,Ana Morales,F,65,Escuintla,Santa Lucía Cotzumalguapa,2024.12.19,Corporativo
114,Andrea Santos,M,57,Alta Verapaz,San Pedro Carchá,2025.03.21,Frecuente
115,Rosa Méndez,M,70,Guatemala,Mixco,2025.05.04,Nuevo
116,José García,M,18,Escuintla,Palín,2026.01.09,Corporativo
117,Diego Gómez,M,54,Chimaltenango,Chimaltenango,2024-07-11,Inactivo
118,Andrea Díaz,M,39,Quetzaltenango,Coatepeque,2023.02.02,Premium
119,Andrea Pérez,F,26,Chimaltenango,Chimaltenango,05-21-2022,Corporativo
120,José García,M,43,Quetzaltenango,Coatepeque,2023/05/24,Corporativo
121,José Díaz,M,26,Peté,San Benito,2025.07.08,Nuevo
122,Ana López,F,19,Sacatepéquez,Ciudad Vieja,22/03/2025,Corporativo
123,Juan Pérez,F,70,Izabal,Morales,2025-03-15,Premium
124,Andrea Pérez,M,36,Sacatepéquez,Jocotenango,2022-02-12,Premium
125,Luis Ramírez,M,22,Quetzaltenango,Coatepeque,2024/05/01,Inactivo
126,Lucía Ramírez,M,42,Izabal,Puerto Barrios,2022-05-19,Corporativo
127,Luis Gómez,M,48,Escuintla,Palín,2023.08.28,Nuevo
128,Sofía Cruz,F,33,Sacatepéquez,Jocotenang,2025/01/13,Frecuente
129,Ana Santos,M,39,Chimaltenango,Tecpán Guatemala,11/06/2024,Frecuente
130,Lucía Santos,F,72,Sacatepéquez,San Lucas Sacatepéquez,2025-04-14,Inactivo
131,Pedro Morales,F,40,Quetzaltenango,Coatepeque,23/04/2023,Corporativo
132,José Méndez,F,68,Escuintla,Escuintla,,Inactivo
133,Diego Hernández,F,65,Escuintla,Palín,2025-06-12,Frecuente
134,Fernanda  Díaz,M,73,Guatemala,San Miguel Petapa,2024.05.11,Inactivo
135,Fernanda García,M,63,Guatemala,Santa Catarina Pinula,10/02/2024,Nuevo
136,Fernanda Gómez,F,68,Izabal,Morales,02-17-2025,Nuevo
137,Rosa Pérez,M,19,Quetzaltenango,salcajá,02/10/2023,Nuevo
138,Luis Gómez,F,55,Escuintla,Escuintla,03-19-2022,Nuevo
139,José Gómez,F,70,Guatemala,Mixco,2025-06-25,Premium
140,Fernanda Gómez,F,74,Guatemala,San Miguel Petapa,2021.09.04,Premium
141,Andrea Gómez,M,26,Quetzaltenango,Salcajá,26/06/2023,Frecuente
142,Lucía López,F,46,Izabal,Puerto Barrios,2021.11.03,Corporativo
143,María Díaz,M,38,Petén,FLORES,2021-11-07,nuevo
144,Luis Cruz,F,49,Sacatepéquez,San Lucas Sacatepéquez,22/11/2021, Corporativo 
145,María Morales,M,43,Quetzaltenango,Coatepeque,2024.01.30,Frecuente
146,Pedro García,M,73,Chimaltenango,Chimaltenango,2023-09-19,NUEVO
147,Sofía García,M,23,Sacatepéquez,San Lucas Sacatepéquez,2025/09/19,Corporativo
148,Luis Pérez,M,27,Izabal,Morales,2023/04/23,Corporativo
149,Pedro Gómez,F,27,Chimaltenango,Tecpán Guatemala,2026.03.21,Premium
150,María Castillo,F,32,Alta Verapaz,San Pedro Carchá,2023/01/16,Corporativo
151,Miguel Díaz,F,27,Chimaltenango,Chimaltenango,2022-09-30,Nuevo
152,Carlos Castillo,F,67,Alta Verapaz,San Pedro Carchá,2021.04.08,PREMIUM
153,Carlos Hernández,M,39,Petén,Flores,2021-06-02,Inactivo
154,Diego Pérez,M,19,Escuintla,Palín,08-16-2021,Frecuente
155,Juan Castillo,F,28,Quetzaltenango,Quetzaltenango,2021/09/16,Frecuente
156,José Castillo,M,75,Chimaltenango,Tecpán Guatemala,2023.08.12,Premium
157,Miguel García,F,34,Sacatepéquez,Antigua Guatemala,01-13-2022,Frecuente
158,Lucía  Pérez,M,35,Guatemala,Guatemala,31/31/2025,Frecuente
159,Juan Gómez,M,50,Petén,San Benito,2021-04-02,Nuevo
160,Miguel López,F,52,Quetzaltenango,Coatepeque,2022-03-27,Nuevo
161,José Hernández,F,59,Quetzaltenango,Quetzaltenango,2024.09.11,Inactivo
162,Pedro Gómez,M,60,Guatemala,Mixco,03/04/2021,Nuevo
163,Andrea Díaz,F,33,Sacatepéquez,Ciudad Vieja,29/09/2023,Frecuente
164,Diego Díaz,M,44,Quetzaltenango,Coatepeque,2023-10-07,Premium
165,Lucía García,M,27,Escuintla,NULL,2022.04.22,Nuevo
166,Gabriela García,M,44,Chimaltenango,Chimaltenango,2023/04/28,Corporativo
167,María Méndez,M,35,Izabal,Puerto Barrios,03-09-2023,Premium
168,Luis García,F,36,Quetzaltenango,Coatepeque,01-23-2026,Frecuente
169,Miguel Hernández,F,66,Izabal,Puerto Barrios,2025.02.03,Inactivo
170,Carlos Gómez,M,75,Izabal,Morales,26/01/2023,Inactivo
171,José Pérez,F,68,Sacatepéquez,San Lucas Sacatepéquez,2024/04/21,Inactivo
172,Sofía Díaz,M,29,Sacatepéquez,Jocotenango,03-19-2021,Frecuente
173,Rosa Santos,F,25,Escuintla,Santa Lucía Cotzumalguapa,03-15-2025,Frecuente
174,Sofía López,F,52,Alta Verapaz,Cobán,2022.08.22,Inactivo
175,Miguel Méndez,N/A,55,Izabal,Puerto Barrios,2023-06-29,Inactivo
176,Luis Cruz,M,22,Alta Verapaz,Cobán,2025/02/03,Frecuente
177,Diego Pérez,F,30,Izabal,Livingston,15/08/2025,Premium
178,Ana Santos,M,70,Escuintla,Santa Lucía Cotzumalguapa,2021-04-13,Corporativo
179,José Pérez,F,31,Quetzaltenango,No Especificado,10/09/2022,Premium
180,Sofía Méndez,F,33,Petén,Flores,2022.01.09,Frecuente
181,Miguel Ramírez,F,130,Alta Verapaz,Sin dato,08-31-2025,Nuevo
182,José Méndez,M,22,Izabal,Livingston,24/03/2022,Premium
183,Sofía Méndez,F,30,Sacatepéquez,Jocotenango,NULL,Inactivo
184,Lucía Méndez,F,22,Petén,Flores,2022/11/23,Nuevo
185,Lucía Pérez,F,59,Sacatepéquez,San Lucas Sacatepéquez,04/01/2026,Premium
186,Carlos Gómez,F,36,Escuintla,Santa Lucía Cotzumalguapa,2023.08.16,Frecuente
187,José Castillo,M,39,Izabal,Puerto Barrios,2024/02/25,Nuevo
188,Miguel Cruz,F,23,Izabal,Livingston,2021.10.03,Premium
189,Carlos Méndez,M,41,Escuintla,Palín,10-07-2023,Inactivo
190,Gabriela Hernández,F,33,Guatemala,Guatemala,2023/12/22,Corporativo
191,José Méndez,F,71,Sacatepéquez,Ciudad Vieja,2022.12.28,Premium
192,Carlos Morales,M,53,Petén,Sayaxché,01/04/2021,Inactivo
193,Ana Castillo,F,70,Petén,San Benito,12-25-2024,Corporativo
194,José Castillo,M,73,Sacatepéquez,Antigua Guatemala,2025-07-04,Premium
195,Ana Ramírez,F,43,Izabal,Puerto Barrios,2024.03.11,Premium
196,Fernanda Méndez,F,75,Chimaltenango,Chimaltenango,2021/09/14,Frecuente
197,Gabriela Díaz,M,23,Petén,San Benito,2023.05.05,Premium
198,María Pérez,M,24,Sacatepéquez,Antigua Guatemala,2026.03.08,Frecuente
199,Juan Gómez,F,73,Chimaltenango,NULL,2021/10/01,Frecuente
200,Ana Méndez,M,53,Escuintla,Santa Lucía Cotzumalguapa,15/12/2024,Corporativo
201,Lucía Pére,M,74,Sacatepéquez,San Lucas Sacatepéquez,04/01/2025,Corporativo
202,Luis Gómez,M,30,Petén,Sayaxché,08-11-2023,Inactivo
203,Lucía Ramírez,M,59,Sacatepéquez,San Lucas Sacatepéquez,2022-09-23, Inactivo 
204,Miguel Castillo,M,68,Petén,Sayaxché,09/03/2021,Nuevo
205,Juan Pérez,M,23,Quetzaltenango,Quetzaltenango,2024.08.22,Nuevo
206,Andrea Hernández,M,53,Quetzaltenango,Quetzaltenango,2023/05/16,Inactivo
207,Sofía Díaz,F,47,Alta Verapaz,No Especificado,09-22-2021,Nuevo
208,Diego Santos,F,53,Sacatepéquez,San Lucas Sacatepéquez,21/04/2025,Inactivo
209,Andrea Gómez,F,54,Izabal,Morales,2021/08/03,Corporativo
210,Gabriela García,F,26,Guatemala,Mixco,2022.08.05,Nuevo
211,Juan Castillo,M,73,Alta Verapaz,San Pedro Carchá,2024-10-01,Nuevo
212,Rosa Ramírez,M,48,Chimaltenango,Tecpán Guatemala,2022.03.21,Frecuente
213,Sofía Santos,M,36,Escuintla,Palín,2022.08.02,Inactivo
214,Ana Castillo,F,71,Izabal,Livingston,2022/05/21,Corporativo
215,Luis Morales,M,69,Guatemala,Mixco,2024.07.28,Inactivo
216,Luis Santos,F,36,Petén,Flores,2024-05-18,Nuevo
217,Lucía García,M,35,Quetzaltenango,Coatepeque,2025-10-28,Frecuente
218,Pedro García,NULL,64,Guatemala,San Miguel Petapa,06-09-2021,Premium
219,Andrea Méndez,F,28,Escuintla,Palín,31/31/2025,Frecuente
220,Andrea Castillo,F,46,Alta Verapaz,San Pedro Carchá,2022.02.02,Inactivo
221,Juan Ramírez,F,68,Chimaltenango,Tecpán Guatemala,2025.03.18,Inactivo
222,Carlos Ramírez,F,24,Sacatepéquez,Ciudad Vieja,28/07/2021,Corporativo
223,Lucía Ramírez,F,46,Izabal,Puerto Barrios,11-27-2022,Premium
224,Pedro Díaz,F,34,Guatemala,Guatemala,2025-06-14, Frecuente 
225,Rosa Cruz,F,69,Alta Verapaz,Cobán,2022/04/28,Frecuente
226,María Méndez,M,33,Alta Verapaz,Sin dato,04-28-2024,Nuevo
227,Andrea García,F,34,Sacatepéquez,Ciudad Vieja,2025/02/23,Nuevo
228,Andrea Ramírez,M,72,Petén,San Benito,09-10-2025, Nuevo 
229,José Morales,M,73,Guatemala,Mixco,2025-01-30,Nuevo
230,Luis Hernández,F,32,Guatemala,San Miguel Petapa,2026.05.05,Frecuente
231,Juan Méndez,M,72,Sacatepéquez,Antigua Guatemala,13/10/2022,Inactivo
232,Fernanda Gómez,M,40,Escuintla,Santa Lucía Cotzumalguapa,2023/03/28,Frecuente
233,Juan Gómez,M,54,Alta Verapaz,Tactic,2022/05/14,Corporativo
234,Juan Morales,M,39,Chimaltenango,Chimaltenango,2022.07.12,Corporativo
235,Gabriela Santos,M,48,Guatemala,Mixco,19/01/2025,Corporativo
236,Sofía Díaz,M,58,Sacatepéquez,Jocotenango,2025/09/29,Corporativo
237,Lucía Méndez,M,49,Izabal,MORALES,2023.01.02,Corporativo
238,Sofía Ménde,F,28,Quetzaltenango,Salcajá,2025/06/10,Frecuente
239,Fernanda Morales,F,45,Izabal,Morales,2021.10.17,Inactivo
240,Lucía Méndez,M,54,Alta Verapaz,Tactic,2026.05.12,Frecuente
241,Diego Castillo,F,63,Guatemala,No Especificado,29/06/2021,Inactivo
242,Pedro Cruz,M,48,Petén,Flores,08/06/2025,Corporativo
243,Fernanda Ramírez,F,34,Alta Verapaz,San Pedro Carchá,11/07/2021,Nuevo
244,Rosa Pérez,F,18,Alta Verapaz,Cobán,2021-10-28,Premium
245,Miguel Ramírez,M,47,Quetzaltenango,Coatepeque,26/08/2021,Corporativo
246,Gabriela Méndez,M,37,Chimaltenango,Chimaltenango,2022.03.29,Nuevo
247,Lucía Méndez,M,71,Escuintla,Santa Lucía Cotzumalguapa,2024/01/16,Inactivo
248,Miguel Santos,M,70,Quetzaltenango,Coatepeque,2021-09-26,Nuevo
249,Pedro García,F,57,Izabal,Morales,2026.05.19, Inactivo 
250,Miguel Morales,F,38,Quetzaltenango,Coatepeque,07-15-2025,Nuevo
251,Fernanda Gómez,M,74,Izabal,Puerto Barrios,2025-05-12,Corporativo
252,Gabriela Morales,M,69,Izabal,Livingston,11/06/2024,Frecuente
253,Diego Castillo,F,45,Petén,Flores,05-16-2022,Nuevo
254,Fernanda Hernández,M,72,Escuintla,Santa Lucía Cotzumalguapa,2021-10-16,Frecuente
255,Luis López,F,73,Sacatepéquez,No Especificado,2021/05/25,Inactivo
256,María Méndez,M,38,Chimaltenango,El Tejar,23/08/2021,Frecuente
257,Fernanda Morales,F,45,Izabal,Livingston,16/06/2025,Nuevo
258,José Pére,N/A,48,Escuintla,Escuintla,2023-09-07,Nuevo
259,María Gómez,F,56,Quetzaltenang,Salcajá,2023.09.19,Premium
260,Fernanda García,M,61,Alta Verapaz,Cobán,2022/09/17,Nuevo
261,Rosa López,F,22,Quetzaltenango,Salcajá,2023.07.21,Frecuente
262,Luis Morales,F,66,Izabal,Puerto Barrios,2021/02/21,Inactivo
263,Lucía Díaz,M,28,Alta Verapaz,San Pedro Carchá,05/05/2026,Corporativo
264,Pedro Díaz,F,62,Sacatepéquez,Jocotenango,06-30-2021,Premium
265,Luis Díaz,F,53,Sacatepéquez,Jocotenango,2023-06-11,Frecuente
266,José Castillo,M,62,Izabal,Puerto Barrios,2026/02/07,Corporativo
267,Miguel Méndez,F,41,Chimaltenango,Tecpán Guatemala,10-22-2022,Corporativo
268,Juan Pérez,M,31,Sacatepéquez,NULL,09/02/2022,Frecuente
269,María Méndez,F,53,Sacatepéquez,Ciudad Vieja,2024-05-30,Inactivo
270,Sofía Hernández,M,39,Petén,Sayaxché,2022-07-09,Nuevo
271,Sofía Castillo,M,71,Quetzaltenango,Salcajá,2023-11-08,Nuevo
272,José Morales,M,61,Petén,San Benito,2024/03/15,Nuevo
273,Sofía Santos,M,19,Sacatepéquez,San Lucas Sacatepéquez,2025-10-26,Premium
274,Miguel Santos,M,35,Petén,Sayaxché,2025-11-19,Frecuente
275,Fernanda Castillo,F,54,Guatemala,NULL,2021/09/05,Premium
276,Andrea López,F,72,Sacatepéquez,Ciudad Vieja,2026.06.06,Nuevo
277,Pedro García,M,72,Petén,Flores,10/03/2026,Premium
278,Miguel García,F,N/A,Quetzaltenango,coatepeque,15/05/2022,Corporativo
279,Ana Ramírez,F,73,Guatemala,Guatemala,2025-06-21,Corporativo
280,Fernanda López,M,66,Chimaltenango,Chimaltenango,2023/02/16,Inactivo
281,María Méndez,F,58,Chimaltenango,Tecpán Guatemala,2021.08.30,Inactivo
282,Pedro Hernández,M,48,Escuintla,Palín,07-29-2022,Premium
283,Ana Pérez,F,71,Escuintla,Santa Lucía Cotzumalguapa,2021/04/09,Nuevo
284,Pedro Ramírez,F,29,Escuintla,Palín,2023.09.24,Frecuente
285,María Santos,M,40,Sacatepéquez,Ciudad Vieja,2021.11.17,Premium
286,Miguel Gómez,F,32,Izabal,Livingston,2023-10-09,Inactivo
287,Carlos Morales,F,49,Sacatepéquez,Ciudad Vieja,2023.01.08,Frecuente
288,Rosa López,F,61,Alta Verapaz,San Pedro Carchá,10-10-2024,PREMIUM
289,Rosa Pérez,M,48,Quetzaltenango,Salcajá,,Premium
290,María Gómez,F,71,Petén,San Benito,11/12/2025,Premium
291,Rosa García,M,56,Petén,Sayaxché,2026/06/13,Frecuente
292,Rosa Ramírez,M,57,Petén,San Benito,30/11/2024,frecuente
293,Ana Méndez,M,57,Quetzaltenango,Quetzaltenango,28/03/2025,Premium
294,Rosa Gómez,F,28,Escuintla,Escuintla,2021-08-15,Frecuente
295,Juan Gómez,F,56,Quetzaltenango,Salcajá,2026/04/15,Inactivo
296,Fernanda Santos,M,62,Quetzaltenango,Salcajá,2024.08.16,Frecuente
297,Fernanda Pérez,M,66,Guatemala,Guatemala,27/09/2021,Premium
298,Gabriela García,M,64,Sacatepéquez,Jocotenango,05-05-2021,Nuevo
299,Andrea Morales,M,72,Guatemala,Santa Catarina Pinula,2025-01-29,Premium
300,Pedro Cruz,M,58,Alta Verapaz,San Pedro Carchá,12/08/2024,Inactivo
301,Andrea Hernández,F,55,Alta Verapaz,San Pedro Carchá,2021-11-14,Frecuente
302,Pedro Santos,M,51,Quetzaltenango,No Especificado,03-23-2023,Premium
303,Pedro Hernández,M,66,Izabal,Morales,2022/06/11,Inactivo
304,Pedro López,F,58,Guatemala,Villa Nueva,30/06/2026,Inactivo
305,Lucía Díaz,F,33,Chimaltenango,Chimaltenango,2024-11-01,Nuevo
306,Miguel Gómez,M,27,Alta Verapaz,San Pedro Carchá,02-24-2023,Corporativo
307,Andrea Santos,M,29,Guatemala,San Miguel Petapa,2024/03/30,Nuevo
308,María Hernández,F,23,Quetzaltenango,Coatepeque,2021-11-09,Premium
309,Miguel Castillo,M,68,Quetzaltenango,Sin dato,2024.05.27,Nuevo
310,Carlos Castillo,F,53,Escuintla,Palín,2022-06-24,Frecuente
311,Gabriela Castillo,M,69,Sacatepéquez,Antigua Guatemala,2024/12/09,Inactivo
312,Miguel Ramírez,F,36,Escuintla,Palín,2025.01.20,Inactivo
313,Ana Santos,F,44,Izabal,Puerto Barrios,2025-11-05,Corporativo
314,Fernanda Pérez,F,61,Sacatepéquez,Antigua Guatemala,06/10/2022,Inactivo
315,Andrea Díaz,F,47,Alta Verapaz,San Pedro Carchá,05/11/2025,Nuevo
316,Miguel García,,30,Quetzaltenango,Quetzaltenango,2021/12/19,Nuevo
317,Ana Hernández,F,43,Petén,Sayaxché,07/12/2022,Inactivo
318,Luis Pérez,M,19,Guatemala,Villa Nueva,11/03/2024,Frecuente
319,Juan Pérez,M,40,Izabal,NULL,2026.04.22,Corporativo
320,José Gómez,M,27,Quetzaltenango,Coatepeque,2025.03.22,Inactivo
321,Ana Gómez,M,33,Chimaltenango,No Especificado,06-14-2026,Nuevo
322,Pedro Morales,M,31,Guatemala,Villa Nueva,NULL,Frecuente
323,Gabriela Gómez,M,29,Sacatepéquez,Jocotenango,2025.07.25,Frecuente
324,Fernanda López,M,36,Alta Verapaz,Tactic,2025/07/25,Corporativo
325,Miguel Morales,M,24,Izabal,Livingston,2023.09.16,Premium
326,Luis Cruz,M,0,Izabal,Puerto Barrios,2023.12.10,Premium
327,Gabriela García,M,67,Chimaltenango,El Teja,2023.03.26,Nuevo
328,Gabriela Hernández,F,43,Guatemala,San Miguel Petapa,09-06-2023,Premium
329,Diego Pérez,M,74,Izabal,Livingston,08-18-2024,Inactivo
330,Gabriela Cruz,M,55,Alta Verapaz,Tactic,2023-11-06,Corporativo
331,Sofía Ramírez,F,57,Quetzaltenango,Coatepeque,16/03/2024,Inactivo
332,Luis Castillo,M,69,Alta Verapaz,San Pedro Carchá,2026/05/23,Nuevo
333,Rosa López,F,62,Escuintla,Santa Lucía Cotzumalguapa,2024/12/26,Frecuente
334,Lucía Morales,F,20,Alta Verapaz,San Pedro Carchá,08-28-2022, Corporativo 
335,José Santos,F,62,Guatemala,Guatemala,2026/02/20,Nuevo
336,Ana Méndez,M,32,Escuintla,Palín,09/11/2024,Nuevo
337,Pedro Díaz,M,62,Quetzaltenango,Coatepeque,2022-01-23,Corporativo
